gid,section,key,value,links,element_id,element_class,element_tag,parent_id,parent_class,data_url,href,company_gid_from_link
10546,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10546,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,meta,url,https://mininghub.com/project-profile?gid=10076,,,,,,,,,
10076,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10076,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10076,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,meta,url,https://mininghub.com/project-profile?gid=7245,,,,,,,,,
7245,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7245,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7245,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,meta,url,https://mininghub.com/project-profile?gid=2586,,,,,,,,,
2586,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
2586,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
2586,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,meta,url,https://mininghub.com/project-profile?gid=10071,,,,,,,,,
10071,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
10071,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
10071,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,meta,url,https://mininghub.com/project-profile?gid=5857,,,,,,,,,
5857,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
5857,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
5857,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,meta,url,https://mininghub.com/project-profile?gid=3193,,,,,,,,,
3193,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
3193,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3193,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
17765,meta,url,https://mininghub.com/project-profile?gid=17765,,,,,,,,,
17765,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
